PLAYER_NAME;MIN;FGM;FGA;FG3M;FG3A;FTM;FTA;OREB;DREB;REB;AST;TOV;STL;BLK;BLKA;PF;PFD;PTS;DD2;TD3;PACE;PIE;POSS
AJ Green;21.2;2.7;5.65;2.43;5.13;0.22;0.26;0.17;2.0;2.17;0.96;0.65;0.52;0.09;0.0;1.96;0.52;8.04;0.0;0.0;99.61;0.07;43.61
AJ Johnson;2.14;0.6;1.2;0.2;0.2;0.0;0.0;0.0;0.4;0.4;0.2;0.4;0.0;0.0;0.2;0.0;0.0;1.4;0.0;0.0;119.82;1.58;5.6
Aaron Gordon;29.66;4.91;9.27;1.45;3.09;3.0;3.82;1.91;4.09;6.0;3.55;1.55;0.55;0.27;0.64;1.55;3.18;14.27;0.18;0.0;105.28;0.1;63.73
Aaron Holiday;9.68;1.4;3.0;1.0;2.27;0.47;0.6;0.0;1.0;1.0;1.33;0.33;0.13;0.07;0.0;0.47;0.6;4.27;0.0;0.0;109.5;0.14;21.4
Aaron Nesmith;22.7;3.17;6.0;1.0;1.83;1.83;2.17;0.67;3.33;4.0;1.0;0.83;0.67;0.33;0.5;4.0;2.0;9.17;0.0;0.0;99.49;0.07;46.67
Aaron Wiggins;20.36;3.62;8.04;1.46;3.71;0.5;0.62;1.0;2.54;3.54;1.54;0.88;0.92;0.29;0.67;1.25;0.67;9.21;0.0;0.0;101.23;0.11;42.67
Adam Flagler;3.64;0.45;1.82;0.45;1.73;0.0;0.0;0.18;0.36;0.55;0.0;0.0;0.18;0.0;0.0;0.36;0.0;1.36;0.0;0.0;93.86;0.0;7.27
Adama Sanogo;4.58;1.0;1.67;0.0;0.0;0.0;0.0;0.67;0.0;0.67;0.33;0.33;0.0;0.0;0.33;0.33;0.33;2.0;0.0;0.0;105.34;0.05;10.67
Adem Bona;6.46;0.57;0.93;0.0;0.0;0.36;0.43;0.57;1.14;1.71;0.0;0.43;0.0;0.43;0.21;1.07;0.36;1.5;0.0;0.0;112.66;0.22;13.57
Ajay Mitchell;15.96;2.29;4.79;0.54;1.29;0.5;0.62;0.42;1.08;1.5;1.71;0.79;0.88;0.08;0.38;1.79;1.42;5.62;0.0;0.0;100.72;0.04;33.42
Al Horford;28.46;3.5;7.44;2.28;5.5;0.33;0.33;0.89;4.39;5.28;2.39;1.06;0.78;0.94;0.06;1.67;0.5;9.61;0.06;0.0;99.72;0.09;59.0
Alec Burks;15.07;1.75;3.83;1.25;2.67;0.5;0.67;0.33;1.58;1.92;1.33;0.17;0.5;0.25;0.0;0.42;0.58;5.25;0.0;0.0;99.68;0.09;31.25
Alex Caruso;20.01;2.31;5.88;0.88;3.19;0.31;0.44;0.62;2.38;3.0;2.31;0.81;1.88;0.62;0.44;2.25;1.06;5.81;0.0;0.0;103.93;0.1;43.25
Alex Ducas;1.82;0.0;0.75;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;102.97;-0.13;4.0
Alex Len;7.16;0.67;1.22;0.0;0.22;0.11;0.22;0.44;1.39;1.83;0.83;0.33;0.17;0.61;0.11;0.83;0.44;1.44;0.0;0.0;195.04;0.07;15.22
Alex Reese;1.88;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;89.2;0.56;4.0
Alexandre Sarr;26.82;4.0;10.45;1.1;4.4;1.45;2.2;2.1;4.2;6.3;2.0;1.4;0.75;1.85;0.55;2.7;1.5;10.55;0.1;0.0;105.45;0.07;58.75
Alondes Williams;3.72;2.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;90.4;0.4;7.0
